index,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,x,y
5623,309.1659167798809,25.88087622948904,15.0,15.0,16.90364668192679,15.410278010910432,15.0,15.0,15.0,15.0,15.0,1.1216512787477213,7.039170038670592
5624,369.55217006888137,30.31457260992221,15.0,15.0,18.876227272961927,15.0,15.0,15.0,15.0,15.0,15.0,0.9501359627643168,6.907472919991994
5625,446.1665880356707,37.353245256670014,15.0,15.0,19.29647727175498,15.0,15.0,15.0,15.0,15.0,15.0,0.8225305468259205,6.727614748338557
5626,515.6471044820257,40.34264958008791,15.0,15.0,18.590788374497976,15.0,15.0,15.0,15.0,15.0,15.0,0.6890169450581851,6.551522753737958
5627,552.3653363803242,45.89708969721658,15.0,15.0,21.917199307733927,15.0,15.0,15.0,15.0,15.0,15.0,0.5580733771026409,6.374203199851804
5628,610.1946701130729,59.73629363683258,15.0,15.0,22.135595126898387,15.0,15.0,15.0,15.0,15.0,15.0,0.4776152375448829,6.170131254037441
5629,630.945091965925,81.79102378610807,15.0,15.0,29.06959516464297,15.0,15.0,15.0,15.0,15.0,15.0,0.4653490854118778,5.951704752380503
5630,609.2129524626122,104.35770356295374,15.0,15.0,33.59472372587777,15.0,15.0,15.0,15.0,15.0,15.0,0.4697505992868036,5.730665526769352
5631,588.8722309091906,137.47513185572063,15.0,15.0,42.53217630749447,15.0,15.0,15.0,15.0,15.0,15.0,0.4538023013945489,5.509215182063693
5632,514.9579340015314,180.2440228110036,15.0,15.0,47.503847679346784,15.0,15.0,15.0,15.0,15.0,15.0,0.4587640197568299,5.288349297835733
5633,439.8189450666539,226.19909742698417,19.513632572996848,15.0,63.667500971820346,15.0,15.0,15.0,15.0,15.0,15.0,0.4643143264276399,5.0675432948648185
5634,369.64983197889353,290.1713815705995,23.009086143870725,15.0,74.70436842892705,15.0,15.0,15.0,15.0,15.0,15.0,0.4610714649710181,4.848306336151184
5635,276.22097931259435,370.1797227076835,28.95333830104812,16.667161058909787,82.45465211061581,15.0,15.0,15.0,15.0,15.0,15.0,0.4642489481153702,4.564244220404083
5636,223.4506288015564,455.6311639424895,37.74932500375743,20.108859413866107,91.56793796167683,15.0,15.0,15.0,15.0,15.0,15.0,0.4532425624148226,4.342568264139164
5637,175.4615579831813,538.2361752996734,47.22606603583914,24.861621934734845,98.94731980566657,15.0,15.0,15.0,15.0,15.0,15.0,0.4445632840741465,4.122102014845589
5638,137.55526851230042,598.3851904319948,60.81772696017849,30.517423475991357,105.01750588473246,15.0,15.0,15.0,15.0,15.0,15.0,0.4398761566395577,3.9021726061734063
5639,111.74676528827533,641.8702470245329,77.35645829148999,34.48751510563738,111.01537955688272,15.0,15.0,15.0,15.0,15.0,15.0,0.4359905191634561,3.6816896798654817
5640,76.51369684163646,649.5872701261912,95.31865062565028,40.00238586838786,125.77542295728465,15.0,15.0,15.0,15.0,15.0,15.0,0.5322998544295223,3.4977759146985328
