vive_data|last_cmd
[ 1.01733457e+00  6.79413382e-01  1.13394441e-01  1.77358239e+02 -1.45694364e+02 -9.07324227e+01]|TURN:139
[ 1.00150409e+00  7.78780705e-01  1.15718708e-01  1.77441501e+02 -1.44551914e+02 -9.05570183e+01]|MOVE:900.186645080008
[ 9.85560063e-01  8.79755430e-01  1.17812684e-01  1.77414107e+02 -1.44584591e+02 -9.04595394e+01]|MOVE:900.186645080008
[ 9.86594083e-01  8.91896412e-01  1.17457948e-01 -6.52367490e-02  4.80028554e+01  8.90023590e+01]|TURN:-1961
[ 0.98207231  0.79012218  0.1157022  -0.08987894 47.20082133 88.92300732]|MOVE:900.186645080008
[ 0.98306219  0.78915416  0.11527794  0.12844176 62.89977356 88.59644382]|TURN:188
[ 9.48607569e-01  6.96241635e-01  1.12220411e-01 -2.84891443e-02  6.36935323e+01  8.88678504e+01]|MOVE:900.186645080008
[ 0.91352825  0.6042791   0.10800384 -0.50843693 63.71381344 89.37872203]|MOVE:900.186645080008
[ 0.91199241  0.60482681  0.10691107 -0.64661508 58.15574789 89.58822712]|TURN:-64
[ 0.88713797  0.50852472  0.10435274 -0.82730021 58.15715194 90.02703437]|MOVE:900.186645080008
[ 0.86423117  0.40850062  0.10376952 -0.66609491 58.37023845 90.00358848]|MOVE:900.186645080008
[ 0.84122033  0.30932831  0.10403256 -1.03125633 58.86142773 90.14779776]|MOVE:900.186645080008
[ 0.84167681  0.30811472  0.10402999 -1.23072516 67.57722806 90.14419245]|TURN:106
[ 0.79949727  0.21790431  0.1006907  -2.1369322  68.22855968 91.09584359]|MOVE:900.186645080008
[ 8.02749898e-01  2.08136978e-01  1.02591118e-01  1.77881838e+02  1.55141321e+02 -9.03156654e+01]|TURN:1007
[ 7.07956432e-01  2.49753914e-01  1.03292043e-01  1.77893381e+02  1.56050627e+02 -8.96770777e+01]|MOVE:900.186645080008
[ 7.07958671e-01  2.50477141e-01  1.03448693e-01  1.77810870e+02  1.49464715e+02 -8.95350102e+01]|TURN:-77
[ 6.08391549e-01  2.82621643e-01  1.01288847e-01  1.77968647e+02  1.49416125e+02 -8.93401530e+01]|MOVE:900.186645080008
[ 6.08589749e-01  2.83453785e-01  1.01286956e-01  1.78011921e+02  1.40929395e+02 -8.93140209e+01]|TURN:-101
[ 5.09132407e-01  2.98308525e-01  1.01196772e-01  1.78133125e+02  1.40032036e+02 -8.94226279e+01]|MOVE:900.186645080008
[ 4.10666678e-01  3.11328434e-01  1.02645864e-01  1.78301400e+02  1.40113029e+02 -8.96186795e+01]|MOVE:900.186645080008
[ 4.00723197e-01  3.10403810e-01  1.02558995e-01  1.76444556e+02 -1.13908579e+02 -9.23730088e+01]|TURN:1232
[ 4.36549447e-01  4.04055598e-01  1.02056494e-01  1.76170518e+02 -1.13459394e+02 -9.22480981e+01]|MOVE:900.186645080008
[ 4.75246885e-01  4.97033425e-01  1.03132059e-01  1.75950047e+02 -1.13353408e+02 -9.21060486e+01]|MOVE:900.186645080008
[ 4.76051371e-01  4.97045146e-01  1.03002986e-01  1.76613389e+02 -1.22796188e+02 -9.14601850e+01]|TURN:-109
[ 4.97015975e-01  5.96221033e-01  1.03758909e-01  1.76860019e+02 -1.22794830e+02 -9.13970939e+01]|MOVE:900.186645080008
[ 5.15395199e-01  6.99393638e-01  1.01677272e-01  1.76785368e+02 -1.22767490e+02 -9.14061119e+01]|MOVE:900.186645080008
[ 5.13284873e-01  7.01974078e-01  1.00222933e-01  1.76405423e+02 -1.17393230e+02 -9.19290950e+01]|TURN:71
[ 5.43899095e-01  7.99487552e-01  1.00345165e-01  1.75962507e+02 -1.16352179e+02 -9.24499921e+01]|MOVE:900.186645080008
[ 5.79977753e-01  8.92060975e-01  1.04170453e-01  1.75820592e+02 -1.16275386e+02 -9.26054141e+01]|MOVE:900.186645080008
[ 5.82233463e-01  8.91045869e-01  1.04946197e-01  1.76523041e+02 -1.28396352e+02 -9.17747973e+01]|TURN:-143
[ 5.96115851e-01  9.88863957e-01  1.09043233e-01  1.76670440e+02 -1.28957667e+02 -9.18487972e+01]|MOVE:900.186645080008
[  0.59615202   0.99631478   0.11029707  -0.49299818 -25.17327426  90.93307738]|TURN:1207
[  0.69013488   0.95694866   0.10972024  -0.43474857 -23.83225348  91.12612134]|MOVE:900.186645080008
[  0.78398201   0.91668477   0.10864293  -0.1286764  -23.64883903  91.29259872]|MOVE:900.186645080008
[  0.78379424   0.91607824   0.10794107   0.12956658 -39.02818921  91.69042805]|TURN:-170
[  0.8852803    0.89933904   0.10971188   0.18950129 -39.61250396  91.51352501]|MOVE:900.186645080008
[  0.98797353   0.8828915    0.1115801    0.09825764 -39.68715365  91.53206606]|MOVE:900.186645080008
[ 0.99399478  0.8866621   0.11031568 -0.67947745 31.74743371 90.42427612]|TURN:838
[ 1.01555086  0.78575942  0.1086914  -0.35812968 32.77357124 90.32866502]|MOVE:900.186645080008
[ 1.03782743  0.68312546  0.10785609 -0.53871799 32.84957906 90.42908073]|MOVE:900.186645080008
[ 1.05900836  0.58172032  0.10610198 -0.4468802  33.03376145 90.41706894]|MOVE:900.186645080008
[ 1.05890106  0.58047634  0.10649874 -0.45568897 26.80145934 90.58130628]|TURN:-75
[ 1.09143694  0.48188105  0.10468956 -0.28510187 26.46146103 90.62570876]|MOVE:900.186645080008
